Project Name,Street Name,Property Type,Sale Date,Transacted Price ($),Unit Price ($ PSF),Area (SQFT),Postal District,Floor Level,Tenure,latitude,longitude,geocoded_address,price_level,psf_level
ORCHARD PLAZA,ORCHARD ROAD,Retail,2025-11-01,590000,2741.0,215.28,9,01 to 05,99 yrs lease commencing from 1977,1.30502562565776,103.832957478209,320 ORCHARD ROAD SINGAPORE MARRIOTT TANG PLAZA HOTEL SINGAPORE 238865,<1M,2-4k PSF
PANDAN VALLEY,PANDAN VALLEY,Retail,2025-11-01,3360000,2001.0,1679.18,21,01 to 05,Freehold,1.31984371963095,103.779326736396,3 PANDAN VALLEY KINDERLAND PRESCHOOL SINGAPORE 597627,3-10M,2-4k PSF
ROBERTSON BLUE,ROBERTSON QUAY,Retail,2025-11-01,8288000,5310.0,1560.78,9,01 to 05,Freehold,1.29026307473852,103.837158903917,86 ROBERTSON QUAY ROBERTSON BLUE SINGAPORE 238245,3-10M,4-7k PSF
SELETAR HILLS ESTATE,JALAN KELULUT,Shop House,2025-11-01,5500000,1651.0,3330.38,28,-,Freehold,1.38271176294189,103.876494040454,3 JALAN KELULUT SELETAR HILLS ESTATE SINGAPORE 809024,3-10M,<2k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2025-11-01,4300210,4872.0,882.65,7,01 to 05,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,3-10M,4-7k PSF
SPACE @ KOVAN,YIO CHU KANG ROAD,Retail,2025-11-01,1000000,3204.0,312.16,19,01 to 05,Freehold,1.35466521890966,103.876883622562,9 YIO CHU KANG ROAD SPACE @ KOVAN SINGAPORE 545523,<1M,2-4k PSF
SUNSHINE PLAZA,BENCOOLEN STREET,Retail,2025-11-01,518888,1928.0,269.1,7,01 to 05,99 yrs lease commencing from 1997,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,<1M,<2k PSF
SUNSHINE PLAZA,BENCOOLEN STREET,Retail,2025-11-01,570000,2522.0,226.04,7,01 to 05,99 yrs lease commencing from 1997,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,<1M,2-4k PSF
THE GOLDEN LANDMARK,VICTORIA STREET,Retail,2025-11-01,800000,2973.0,269.1,7,01 to 05,99 yrs lease commencing from 1981,1.30197196437956,103.857804288546,390 VICTORIA STREET THE GOLDEN LANDMARK SINGAPORE 188061,<1M,2-4k PSF
THE GOLDEN LANDMARK,VICTORIA STREET,Retail,2025-11-01,1300000,3097.0,419.8,7,01 to 05,99 yrs lease commencing from 1981,1.30197196437956,103.857804288546,390 VICTORIA STREET THE GOLDEN LANDMARK SINGAPORE 188061,1-3M,2-4k PSF
THOMSON PLAZA,UPPER THOMSON ROAD,Retail,2025-11-01,4700000,10396.0,452.09,20,01 to 05,99 yrs lease commencing from 1976,1.35466902496424,103.830919782333,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408,3-10M,>7k PSF
111 SOMERSET,SOMERSET ROAD,Retail,2025-10-01,1650000,3128.0,527.44,9,01 to 05,99 yrs lease commencing from 1975,1.30020625685959,103.837317132796,111 SOMERSET ROAD 111 SOMERSET SINGAPORE 238164,1-3M,2-4k PSF
ARTISAN 8,SIN MING ROAD,Retail,2025-10-01,1138000,4066.0,279.86,20,01 to 05,Freehold,1.35371810230316,103.836117288176,8 SIN MING ROAD ARTISAN 8 SINGAPORE 575628,1-3M,4-7k PSF
FAR EAST PLAZA,SCOTTS ROAD,Retail,2025-10-01,1950000,5844.0,333.68,9,01 to 05,Freehold,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1-3M,4-7k PSF
FAR EAST PLAZA,SCOTTS ROAD,Retail,2025-10-01,1400000,6503.0,215.28,9,01 to 05,Freehold,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1-3M,4-7k PSF
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Retail,2025-10-01,3300000,3739.0,882.65,9,06 to 10,999 yrs lease commencing from 1871,1.30550610748913,103.829984822014,545 ORCHARD ROAD FAR EAST SHOPPING CENTRE SINGAPORE 238882,3-10M,2-4k PSF
